Emiten,RMSE,MAE,MAPE,Model
ADRO,0.007834757218025403,0.006721677687788306,29.72371840428548,XGBoost+Sentimen
ADMR,0.01069542536877874,0.008159487096651057,23.60099414038472,XGBoost+Sentimen
ITMG,0.006393123595985796,0.005512362790150207,63.175810161082566,XGBoost+Sentimen
PTBA,0.006608614705489931,0.005726553713036787,50.42587745713809,XGBoost+Sentimen
MEDC,0.006734813561331904,0.005527245940394888,24.49215576714256,XGBoost+Sentimen
AKRA,0.011124540272817647,0.007435714927892816,25.508021350071775,XGBoost+Sentimen
