Emiten,RMSE,MAE,MAPE,Model
ADRO,0.007630297646346554,0.00651186469562444,28.629667845944283,XGBoost_Teknikal
ADMR,0.010268130139472803,0.00785916188467789,23.083097899606848,XGBoost_Teknikal
ITMG,0.006407191430648173,0.005531672231282359,63.322962301122885,XGBoost_Teknikal
PTBA,0.0066430098551569835,0.00576721751817647,51.265955502567486,XGBoost_Teknikal
MEDC,0.006750972870995458,0.005433674826319053,24.445226033328897,XGBoost_Teknikal
AKRA,0.011327694096341184,0.007426969976623362,25.29548074943171,XGBoost_Teknikal
